Date,Avg_Actual_Turbidity,Avg_Predicted_Turbidity,Avg_MAE
2019-10-17,1.7916666666666667,5.134466179994245,3.342799513327579
2019-10-18,1.8125,5.132035832603773,3.3195358326037727
2019-10-19,1.7954166666666664,5.207114030178636,3.4116973635119696
2019-10-20,2.1104166666666666,5.682451293437431,3.572034626770765
2019-10-21,2.783333333333333,7.969345023812106,5.1860116904787725
2019-10-22,2.692083333333333,6.6841060438224424,3.9920227104891097
2019-10-23,2.445,6.271281803700453,3.8262818037004522
2019-10-24,2.31875,5.407079476679986,3.088329476679986
2019-10-25,2.1966666666666668,5.2106071162223815,3.013940449555715
2019-10-26,2.377083333333333,4.991813321330896,2.614729987997562
2019-10-27,2.4466666666666668,5.083523764424027,2.63685709775736
2019-10-28,2.6275,5.123754957526923,2.5733152533322574
2019-10-29,2.433333333333333,5.177439329851833,2.7441059965185
2019-10-30,2.5454166666666667,5.334272564568868,2.788855897902201
2019-10-31,2.3266666666666667,5.355714459493757,3.02904779282709
2019-11-01,2.3804166666666666,5.26714557708862,2.886728910421953
2019-11-02,2.9941176470588236,5.236851064527736,2.456843832187793
2019-11-03,2.775,5.291712624067441,2.516712624067441
2019-11-06,14.03,5.1675212815031415,8.862478718496858
2019-11-07,12.95,5.130437902063131,7.819562097936868
2019-11-08,6.8425,5.154853048156947,3.6086965967901055
2019-11-09,2.6416666666666666,5.806818490487834,3.1651518238211676
2019-11-10,4.293333333333333,5.613625803676745,1.8730199939881762
2019-11-11,2.557272727272727,8.034175565821881,5.4769028385491545
2019-11-12,2.7570833333333336,5.642737207670386,2.8856538743370526
2019-11-13,3.4004166666666666,5.692267629398654,2.2918509627319876
2019-11-14,3.1966666666666668,5.9622123446905375,2.76554567802387
2019-11-15,2.62375,6.689150405135006,4.065400405135006
2019-11-16,2.829166666666667,6.63213652788351,3.802969861216843
2019-11-17,3.1908333333333334,6.815438931379468,3.6246055980461342
2019-11-18,3.5216666666666665,7.1807227014439805,3.7828558850971366
2019-11-19,3.5025,7.564121603512516,4.221993705574423
2019-11-20,3.929047619047619,7.8206425037483385,4.076524671124561
2019-11-21,3.4166666666666665,7.971826683655382,4.555160016988715
2019-11-22,3.3625000000000003,7.709992424001297,4.57073286758115
2019-11-23,4.12625,7.57574175413698,3.5451159317791463
2019-11-24,4.213636363636364,7.567018175843088,3.8485691788115286
2019-11-29,11.94,7.2288454693555835,8.156242098013559
2019-11-30,4.256666666666667,6.896276854409113,3.612520241340002
2019-12-01,3.4219999999999997,8.452208672121168,5.030208672121168
2019-12-14,5.4366666666666665,8.533738571008046,4.242701168258985
2019-12-15,4.442222222222223,9.119519840710693,5.561734578477012
2019-12-16,2.511,7.523116330176592,5.0121163301765925
2019-12-17,4.350416666666667,9.738571354765446,5.658532802853734
2019-12-18,2.7279166666666668,17.371363041748605,14.643446375081938
2019-12-19,2.11375,9.207624646437665,7.093874646437666
2019-12-20,1.9495833333333332,8.2102051764975,6.2606218431641665
2019-12-21,2.0375,7.738327814781418,5.700827814781419
2019-12-22,2.2616666666666667,7.705196796214829,5.443530129548162
2019-12-23,2.7195238095238095,7.873839462300142,5.154315652776333
2019-12-24,2.5357142857142856,8.063039383079325,5.527325097365039
2019-12-26,7.14,7.899580486118794,0.7595804861187947
2019-12-27,2.4320833333333334,8.13126515765364,5.6991818243203065
2019-12-28,52.8125,7.884632571029168,46.22197734170904
2019-12-29,46.02,48.26196671106542,19.34663711519912
2019-12-30,18.81625,45.504184677352505,26.687934677352512
2019-12-31,10.37125,18.457348506307852,8.08609850630785
2020-01-01,6.412916666666667,10.572227682434024,4.159311015767356
2020-01-02,4.1433333333333335,9.094669812954963,4.95133647962163
2020-01-03,3.2312499999999997,8.349998759732893,5.118748759732893
2020-01-04,2.81375,8.271528565318635,5.457778565318635
2020-01-05,2.5987500000000003,8.398189532502245,5.7994395325022445
2020-01-06,10.17375,8.14892946118489,7.814268586778392
2020-01-07,7.552916666666667,18.030817364634327,20.923892921314888
2020-01-08,1.9708695652173913,18.11438556612186,16.14351600090447
2020-01-09,4.9558333333333335,7.368568677411726,2.4127353440783925
2020-01-10,5.7370833333333335,8.604013595829407,2.8669302624960746
2020-01-11,6.2124999999999995,9.449615108631551,3.2371151086315515
2020-01-12,6.452916666666667,9.816887678590914,3.3639710119242476
2020-01-13,6.440833333333334,10.06265249385188,3.6218191605185477
2020-01-14,6.065833333333334,10.304865799651791,4.239032466318458
2020-01-15,5.564583333333334,10.1162592509451,4.551675917611768
2020-01-16,3.8956250000000003,9.878260243237019,5.982635243237019
2020-01-17,1.9220833333333334,8.594111494291575,6.6720281609582415
2020-01-18,1.7491666666666665,8.927347883333763,7.178181216667096
2020-01-19,1.6054166666666667,8.258751030104856,6.65333436343819
2020-01-20,1.5920833333333333,8.445309654418379,6.853226321085046
2020-01-21,1.812083333333333,12.662529985426616,10.850446652093282
2020-01-22,3.2100000000000004,16.409762334649763,13.199762334649762
2020-01-23,2.32,14.160376671881727,11.840376671881726
2020-01-24,1.8341666666666665,9.23115502829974,7.396988361633073
2020-01-25,1.8741666666666665,8.824410462522259,6.950243795855592
2020-01-26,67.57000000000001,9.067857503971707,60.87031219219789
2020-01-27,63.411249999999995,56.69559014632057,25.20093844280889
2020-01-28,64.58833333333332,56.93719848598044,8.185316631744302
2020-01-29,64.59458333333333,58.14588003754616,10.779501886367797
2020-01-30,40.01791666666667,55.35313906677067,15.33522240010401
2020-01-31,27.885833333333334,36.165553162718815,8.279719829385481
2020-02-01,17.550416666666667,25.87047802610944,8.320061359442773
