,Timestamp,Q,Conductivity,NO3,Temp,Turbidity,Level,Dayofweek,Month,Hour,Year,DayOfWeek,DayOfMonth,WeekOfYear,IsWeekend,Hour_sin,Hour_cos,Month_sin,Month_cos,Turbidity_lag_1h,Turbidity_lag_6h,Turbidity_lag_12h,Turbidity_lag_24h,Conductivity_lag_1h,Conductivity_lag_6h,Conductivity_lag_12h,Conductivity_lag_24h,Turbidity_rolling_mean_6h,Turbidity_rolling_std_6h,Turbidity_rolling_mean_12h,Turbidity_rolling_std_12h,Turbidity_rolling_mean_24h,Turbidity_rolling_std_24h,Conductivity_rolling_mean_6h,Conductivity_rolling_std_6h,Conductivity_rolling_mean_12h,Conductivity_rolling_std_12h,Conductivity_rolling_mean_24h,Conductivity_rolling_std_24h
count,295754,135455.0,161911.0,74117.0,122667.0,162343.0,249379.0,295754.0,295754.0,295754.0,295754.0,295754.0,295754.0,295754.0,295754.0,295754.0,295754.0,295754.0,295754.0,162336.0,162302.0,162260.0,162177.0,161904.0,161870.0,161828.0,161745.0,163768.0,163573.0,164246.0,164089.0,164997.0,164876.0,163343.0,163142.0,163846.0,163681.0,164602.0,164485.0
mean,2018-08-22 10:24:36.399981312,53.765743421741796,7671.934711216281,0.2193506162715359,24.36391324321455,27.58417882478592,6.665523763222863,2.998941688024507,6.380677860654463,11.501396430817504,2018.1514096174524,2.998941688024507,15.773839068955956,25.859345942912014,0.28564279773054635,-0.0001496171797590506,-3.1594639476784374e-05,0.027453433953370653,0.0456832897802707,27.583678191850357,27.58761243208476,27.592201130606554,27.601081737559696,7672.24560763007,7673.745504557601,7675.572163633544,7678.919453763571,27.826065898645403,6.317341899640397,27.81341707356248,8.235602606309984,27.818938954473758,9.88001294145017,7692.191089217913,2182.9450096539576,7673.206723248643,3019.1738822392354,7645.76956395536,3383.5057142295427
min,2016-03-01 00:00:00,-552.4,0.0,0.001,12.48,0.0,0.3944285714285715,0.0,1.0,0.0,2016.0,0.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2017-11-08 11:15:00,-1.5599999999999976,153.07999999999998,0.058,21.58,2.99,1.74,1.0,3.0,6.0,2017.0,1.0,8.0,12.0,0.0,-0.7071067811865477,-0.7071067811865479,-0.5000000000000004,-0.5000000000000004,2.99,2.99,2.99,2.99,153.09,153.185,153.2675,153.47,3.110000000000038,0.27252522815619074,3.1804166666666664,0.4086521635371486,3.2620833333333334,0.5554712061370763,179.2279166666691,1.4501130486276836,201.63404166666666,2.6731114428401392,223.89453124999955,4.837346260170011
50%,2018-09-12 13:00:00,22.265714285714292,546.14,0.146,25.2,5.64,6.185,3.0,6.0,12.0,2018.0,3.0,16.0,26.0,0.0,0.0,-1.8369701987210297e-16,1.2246467991473532e-16,6.123233995736766e-17,5.64,5.64,5.64,5.64,546.1524999999999,546.19,546.21,546.3,5.846666666666669,0.7445378879992534,5.987083333333325,1.093300535355078,6.155833333333322,1.4670581612094504,585.2566666666667,28.093401412581194,629.7529166666667,63.694546634503915,668.613125,118.16513739224243
75%,2019-06-26 19:00:00,83.79733333333333,7876.2475,0.272,27.38,19.593333333333334,10.099999999999998,5.0,10.0,18.0,2019.0,5.0,23.0,40.0,1.0,0.7071067811865475,0.7071067811865475,0.8660254037844386,0.8660254037844384,19.593333333333334,19.6,19.60625,19.62,7876.5,7881.8775000000005,7890.37,7903.89,20.521927083333363,2.8493455388915043,20.834791666666668,4.457979800477571,21.42916666666667,6.467686622810748,9368.901190476192,2470.025418998232,9638.801753472224,4220.273030861181,9659.756960227274,5489.616139447167
max,2020-04-01 23:00:00,2931.958333333333,57444.3,3.885,42.43,1093.21,19.848333333333333,6.0,12.0,23.0,2020.0,6.0,31.0,52.0,1.0,1.0,1.0,1.0,1.0,1093.21,1093.21,1093.21,1093.21,57444.3,57444.3,57444.3,57444.3,648.2075,502.3141063683825,506.36208333333326,437.78050800942765,391.15729166666665,378.98991849324966,56835.174999999996,29326.077864180166,52541.44466666667,26587.098596839285,48880.006555555556,26587.09859683951
std,,131.53810249557634,13773.808297425297,0.25304608625832237,4.131600063952353,56.68663918529396,5.326405137525678,2.0001949747806895,3.560821651146884,6.922135754190196,1.0292734745634045,2.0001949747806895,8.800397709956396,15.489350108030983,0.4517207984722303,0.7071119846366978,0.7071039520462336,0.7094729933808493,0.7027167204907471,56.68590349656012,56.69107858861971,56.69755748382553,56.71033543402533,13774.024529647468,13775.079641743907,13776.395383054607,13779.0205938105,53.59915804374898,20.101663690845193,52.253387994703125,22.033693854737407,51.17205673890833,23.3117191154135,13097.3172255566,4097.527657670751,12570.838069706351,4984.5087483963325,12359.851362862377,5100.444335802881
